data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/11/2023, 14:03:44;4928109;312;Force Lft ;J;10;0;6653;
05/11/2023, 14:03:44;4286440;256;Force Rght Rght ;B;21;1;7182;
05/11/2023, 14:03:44;4428568;542;Crs Crs ;A;22;2;6512;
05/11/2023, 14:03:44;4403539;897;Lft Pendant Tribute Force ;C;12;1;9109;
05/11/2023, 14:03:44;4350045;256;Tiara Tiara Force Pendant ;K;24;2;7036;
05/11/2023, 14:03:44;4852295;845;Rght Crs Rght Pendant ;C;16;2;8715;
05/11/2023, 14:03:44;4204264;582;Tiara Lft Tribute ;E;1;1;9748;
05/11/2023, 14:03:44;4934612;580;Rght Force ;G;8;3;5342;
05/11/2023, 14:03:44;4795245;582;Tribute Pendant ;A;19;2;270;
05/11/2023, 14:03:44;4522735;658;Force Lft ;G;13;3;8817;
05/11/2023, 14:03:44;4801506;658;Pendant Lft Tribute Crs ;F;16;2;2492;
05/11/2023, 14:03:44;4913362;897;Tribute Rght ;A;2;1;1560;
05/11/2023, 14:03:44;4914139;436;Tribute Lft Lft Tribute ;D;8;1;5207;
05/11/2023, 14:03:44;4886949;897;Rght Lft ;D;24;1;5271;
05/11/2023, 14:03:44;4516424;512;Force Tribute ;J;23;0;3737;
05/11/2023, 14:03:44;4871938;845;Tiara Crs ;F;9;2;7148;
05/11/2023, 14:03:44;4505297;958;Tribute Tiara Lft Tribute ;K;25;0;5546;
05/11/2023, 14:03:44;4532522;897;Lft Rght ;A;12;0;6353;
05/11/2023, 14:03:44;4759728;987;Tiara Tiara ;K;2;3;7779;
05/11/2023, 14:03:44;4901655;958;Tribute Tribute ;E;5;2;8687;
05/11/2023, 14:03:44;4247697;852;Crs Force Lft ;G;24;1;4693;
05/11/2023, 14:03:44;4300302;658;Tiara Tiara Tiara Force ;D;9;3;9859;
05/11/2023, 14:03:44;4211663;312;Lft Lft ;F;7;3;2189;
05/11/2023, 14:03:44;4793521;436;Crs Tribute ;I;9;3;9900;
05/11/2023, 14:03:44;4616652;582;Rght Force ;D;23;0;8609;
05/11/2023, 14:03:44;4665129;580;Lft Force Tiara Tiara ;F;5;3;9213;
05/11/2023, 14:03:44;4370992;987;Tiara Tribute Crs Rght ;I;8;0;9569;
05/11/2023, 14:03:44;4535724;958;Crs Crs Tribute ;A;14;3;7382;
05/11/2023, 14:03:44;4209421;897;Force Tiara Crs Tribute ;F;25;3;3633;
05/11/2023, 14:03:44;4401816;987;Lft Pendant Pendant Pendant ;C;14;3;5331;
05/11/2023, 14:03:44;4651191;580;Force Tribute ;K;18;3;1013;
05/11/2023, 14:03:44;4917024;312;Tribute Rght Force ;J;25;1;9797;
05/11/2023, 14:03:44;4700222;987;Force Force Lft ;A;24;2;7319;
05/11/2023, 14:03:44;4475670;436;Pendant Force ;H;19;2;9452;
05/11/2023, 14:03:44;4923670;845;Pendant Tribute Rght ;C;17;3;7773;
05/11/2023, 14:03:44;4992879;897;Rght Force Pendant ;G;21;0;3481;
