data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/11/2023, 14:03:44;4197081;852;Force Force Tribute Rght ;F;21;1;3420;
05/11/2023, 14:03:44;4742309;845;Lft Crs Rght ;E;8;3;3327;
05/11/2023, 14:03:44;4526427;845;Rght Rght ;C;6;1;1807;
05/11/2023, 14:03:44;4325251;542;Rght Pendant Pendant ;A;20;1;3278;
05/11/2023, 14:03:44;4325251;582;Rght Pendant Pendant ;K;1;3;676;
05/11/2023, 14:03:44;4113099;845;Force Tribute ;C;3;0;9193;
05/11/2023, 14:03:44;4106526;845;Tiara Crs Crs ;H;23;0;6780;
05/11/2023, 14:03:44;4946663;987;Tiara Tiara Crs ;I;10;2;4218;
05/11/2023, 14:03:44;4992639;256;Crs Tribute ;K;5;1;6246;
05/11/2023, 14:03:44;4816695;436;Pendant Pendant Tribute Pendant ;C;4;3;4227;
05/11/2023, 14:03:44;4117271;852;Pendant Force Crs Force ;A;17;0;2967;
05/11/2023, 14:03:44;4795483;852;Tiara Crs Rght ;D;22;3;1785;
05/11/2023, 14:03:44;4431450;542;Pendant Tribute ;A;2;1;2604;
05/11/2023, 14:03:44;4738043;852;Lft Tiara Pendant ;K;16;2;2367;
05/11/2023, 14:03:44;4928109;987;Force Lft ;F;13;2;7420;
05/11/2023, 14:03:44;4122383;958;Tiara Lft ;F;20;2;715;
05/11/2023, 14:03:44;4791249;845;Force Pendant Crs Tribute ;C;7;1;3641;
05/11/2023, 14:03:44;4793521;987;Crs Tribute ;C;16;3;4512;
05/11/2023, 14:03:44;4467440;580;Pendant Force ;C;15;3;8229;
05/11/2023, 14:03:44;4045663;852;Crs Lft Pendant ;K;9;0;2003;
05/11/2023, 14:03:44;4448133;542;Lft Tribute Crs Crs ;F;11;1;6889;
05/11/2023, 14:03:44;4825387;256;Tribute Lft ;C;14;3;9312;
05/11/2023, 14:03:44;4605149;542;Lft Tiara ;H;7;1;6525;
05/11/2023, 14:03:44;4666655;852;Lft Crs Tribute Tribute ;I;10;2;7520;
05/11/2023, 14:03:44;4247697;845;Crs Force Lft ;C;23;1;1500;
05/11/2023, 14:03:44;4227455;312;Rght Lft Pendant ;C;17;1;8664;
05/11/2023, 14:03:44;4046718;256;Rght Force Tribute Force ;E;13;3;9312;
05/11/2023, 14:03:44;4092233;897;Lft Pendant Tribute Force ;K;2;2;371;
05/11/2023, 14:03:44;4123466;582;Lft Pendant Pendant Tribute ;I;13;2;4962;
05/11/2023, 14:03:44;4825387;897;Tribute Lft ;E;9;0;6483;
05/11/2023, 14:03:44;4448133;580;Lft Tribute Crs Crs ;I;15;2;3939;
05/11/2023, 14:03:44;4899931;512;Lft Lft Rght ;F;16;3;127;
05/11/2023, 14:03:44;4874281;987;Force Tribute Tiara Lft ;B;25;0;567;
05/11/2023, 14:03:44;4796458;256;Rght Pendant Tribute Force ;C;21;0;4314;
05/11/2023, 14:03:44;4841550;582;Tribute Rght ;D;25;1;8864;
05/11/2023, 14:03:44;4511932;987;Tribute Tribute Force Crs ;K;9;1;9906;
05/11/2023, 14:03:44;4976485;987;Force Tiara ;G;2;2;1330;
05/11/2023, 14:03:44;4209524;958;Tiara Crs ;J;16;3;1440;
05/11/2023, 14:03:44;4485644;542;Crs Rght ;B;7;1;9171;
05/11/2023, 14:03:44;4871938;542;Tiara Crs ;C;24;0;8378;
05/11/2023, 14:03:44;4651191;512;Force Tribute ;A;7;0;2448;
05/11/2023, 14:03:44;4616652;987;Rght Force ;J;6;0;9054;
05/11/2023, 14:03:44;4197081;582;Force Force Tribute Rght ;B;9;2;4543;
05/11/2023, 14:03:44;4913362;987;Tribute Rght ;H;18;1;5252;
05/11/2023, 14:03:44;4453561;897;Rght Crs ;K;9;3;7056;
05/11/2023, 14:03:44;4053534;958;Rght Tiara ;J;22;2;9653;
05/11/2023, 14:03:44;4247697;512;Crs Force Lft ;E;6;0;720;
05/11/2023, 14:03:44;4917024;256;Tribute Rght Force ;B;10;1;4123;
05/11/2023, 14:03:44;4992879;582;Rght Force Pendant ;E;1;2;871;
05/11/2023, 14:03:44;4019599;256;Tribute Tiara ;B;12;1;700;
05/11/2023, 14:03:44;4053534;582;Rght Tiara ;D;1;0;7623;
05/11/2023, 14:03:44;4665129;845;Lft Force Tiara Tiara ;K;15;3;62;
05/11/2023, 14:03:44;4602332;987;Lft Pendant Lft ;B;5;0;8152;
05/11/2023, 14:03:44;4350045;436;Tiara Tiara Force Pendant ;A;6;1;3530;
05/11/2023, 14:03:44;4939577;436;Lft Tiara Force ;C;21;0;380;
05/11/2023, 14:03:44;4256796;512;Rght Tiara ;B;5;0;9365;
05/11/2023, 14:03:44;4826476;852;Lft Rght Crs ;A;6;2;3992;
05/11/2023, 14:03:44;4700222;512;Force Force Lft ;A;8;2;6197;
05/11/2023, 14:03:44;4592645;512;Rght Tribute Rght ;G;24;0;640;
05/11/2023, 14:03:44;4524748;958;Pendant Rght Lft ;C;9;0;7051;
05/11/2023, 14:03:44;4523500;256;Tribute Force ;I;2;0;2623;
05/11/2023, 14:03:44;4791249;582;Force Pendant Crs Tribute ;G;12;2;4809;
05/11/2023, 14:03:44;4266016;436;Force Rght ;D;5;2;5274;
05/11/2023, 14:03:44;4928109;582;Force Lft ;C;22;0;9573;
05/11/2023, 14:03:44;4151861;256;Tribute Rght Tiara ;F;4;0;6289;
05/11/2023, 14:03:44;4793521;436;Crs Tribute ;K;20;1;9002;
05/11/2023, 14:03:44;4736204;436;Lft Tiara ;D;20;0;7539;
05/11/2023, 14:03:44;4294880;512;Rght Tiara ;A;10;2;1882;
05/11/2023, 14:03:44;4725133;512;Lft Crs ;H;6;3;5500;
05/11/2023, 14:03:44;4972861;512;Tiara Force Tiara ;B;11;2;5442;
05/11/2023, 14:03:44;4946412;987;Force Tribute Lft Tribute ;B;9;1;3236;
05/11/2023, 14:03:44;4112363;987;Tribute Crs Force ;K;24;3;8757;
05/11/2023, 14:03:44;4357738;852;Tiara Lft Rght ;D;22;3;3097;
05/11/2023, 14:03:44;4673465;312;Force Tiara Tribute ;J;8;2;6206;
05/11/2023, 14:03:44;4946663;897;Tiara Tiara Crs ;A;8;0;4219;
05/11/2023, 14:03:44;4871938;845;Tiara Crs ;J;23;1;6247;
05/11/2023, 14:03:44;4758493;256;Tiara Crs Tiara ;F;3;2;1024;
05/11/2023, 14:03:44;4471526;580;Force Force Tiara Tiara ;E;21;0;4307;
05/11/2023, 14:03:44;4523500;436;Tribute Force ;I;23;3;3957;
05/11/2023, 14:03:44;4759728;580;Tiara Tiara ;G;1;3;2946;
05/11/2023, 14:03:44;4572926;542;Crs Force Tiara ;K;16;0;3058;
05/11/2023, 14:03:44;4605149;852;Lft Tiara ;D;11;0;1031;
05/11/2023, 14:03:44;4473656;312;Pendant Tiara Lft ;H;22;3;3267;
05/11/2023, 14:03:44;4250643;256;Tribute Crs Tribute ;E;15;2;4965;
05/11/2023, 14:03:44;4057166;987;Rght Rght ;F;19;2;8578;
05/11/2023, 14:03:44;4010172;256;Tribute Tribute Crs Lft ;J;11;3;4284;
05/11/2023, 14:03:44;4548851;897;Rght Crs Lft Tiara ;K;6;3;2001;
05/11/2023, 14:03:44;4061663;958;Lft Rght Crs ;H;12;1;9087;
05/11/2023, 14:03:44;4611739;897;Lft Pendant Pendant ;G;14;1;2507;
05/11/2023, 14:03:44;4928109;542;Force Lft ;K;25;1;8552;
05/11/2023, 14:03:44;4366079;312;Lft Force Lft Force ;G;5;3;9615;
05/11/2023, 14:03:44;4519830;582;Tribute Force Tribute Tribute ;A;22;1;7329;
05/11/2023, 14:03:44;4010172;987;Tribute Tribute Crs Lft ;G;16;1;4703;
05/11/2023, 14:03:44;4330653;958;Force Tribute Rght ;B;25;3;7965;
05/11/2023, 14:03:44;4613804;958;Tiara Tiara Tiara Rght ;F;3;2;2819;
05/11/2023, 14:03:44;4370992;436;Tiara Tribute Crs Rght ;G;12;2;9814;
05/11/2023, 14:03:44;4871938;256;Tiara Crs ;H;23;2;6923;
05/11/2023, 14:03:44;4972319;987;Lft Tiara ;K;11;3;2679;
05/11/2023, 14:03:44;4277243;256;Tiara Pendant Tribute Tiara ;E;4;3;4298;
05/11/2023, 14:03:44;4946412;658;Force Tribute Lft Tribute ;J;4;2;2913;
05/11/2023, 14:03:44;4520322;580;Crs Rght Tribute Tiara ;C;11;1;5940;
05/11/2023, 14:03:44;4732277;958;Pendant Tiara ;C;9;1;80;
05/11/2023, 14:03:44;4197081;256;Force Force Tribute Rght ;E;13;0;5195;
05/11/2023, 14:03:44;4201973;897;Pendant Pendant Lft Crs ;B;10;3;1034;
05/11/2023, 14:03:44;4403539;845;Lft Pendant Tribute Force ;H;8;2;7193;
05/11/2023, 14:03:44;4532522;436;Lft Rght ;I;14;3;1970;
05/11/2023, 14:03:44;4613804;987;Tiara Tiara Tiara Rght ;J;14;0;4031;
05/11/2023, 14:03:44;4759728;958;Tiara Tiara ;F;2;3;1645;
05/11/2023, 14:03:44;4266016;897;Force Rght ;F;21;0;8063;
05/11/2023, 14:03:44;4321795;897;Tribute Tribute Tribute Tribute ;G;18;1;3549;
05/11/2023, 14:03:44;4795245;256;Tribute Pendant ;I;20;1;8401;
05/11/2023, 14:03:44;4036586;658;Rght Pendant Force ;E;13;0;5825;
05/11/2023, 14:03:44;4036586;897;Rght Pendant Force ;I;23;2;3193;
05/11/2023, 14:03:44;4057166;582;Rght Rght ;G;2;2;7138;
05/11/2023, 14:03:44;4415412;256;Crs Lft Pendant ;E;14;2;1663;
05/11/2023, 14:03:44;4019599;436;Tribute Tiara ;I;24;1;4003;
05/11/2023, 14:03:44;4825387;987;Tribute Lft ;I;19;0;27;
05/11/2023, 14:03:44;4060346;312;Force Pendant Tiara Rght ;C;13;0;5279;
05/11/2023, 14:03:44;4906814;542;Force Rght ;I;24;1;3342;
05/11/2023, 14:03:44;4972319;852;Lft Tiara ;E;10;1;3525;
05/11/2023, 14:03:44;4759728;958;Tiara Tiara ;I;14;3;2517;
05/11/2023, 14:03:44;4608677;436;Rght Tribute Lft Crs ;F;19;2;7329;
05/11/2023, 14:03:44;4915031;897;Lft Force Tribute Crs ;H;13;1;4330;
05/11/2023, 14:03:44;4524748;580;Pendant Rght Lft ;I;23;3;8065;
05/11/2023, 14:03:44;4796458;658;Rght Pendant Tribute Force ;C;16;2;1458;
05/11/2023, 14:03:44;4061663;256;Lft Rght Crs ;G;7;1;9887;
05/11/2023, 14:03:44;4743470;582;Rght Tiara ;K;10;0;9763;
05/11/2023, 14:03:44;4906814;582;Force Rght ;G;15;3;316;
05/11/2023, 14:03:44;4898742;436;Rght Crs ;I;8;3;4891;
05/11/2023, 14:03:44;4415412;987;Crs Lft Pendant ;F;12;2;1170;
05/11/2023, 14:03:44;4753693;852;Tiara Force Force Pendant ;E;17;0;9384;
05/11/2023, 14:03:44;4197081;987;Force Force Tribute Rght ;F;19;3;6871;
05/11/2023, 14:03:44;4795803;580;Tribute Force Crs ;C;24;1;1338;
05/11/2023, 14:03:44;4613804;958;Tiara Tiara Tiara Rght ;C;7;2;910;
05/11/2023, 14:03:44;4122383;312;Tiara Lft ;J;15;2;5805;
05/11/2023, 14:03:44;4209524;845;Tiara Crs ;A;3;1;12;
05/11/2023, 14:03:44;4053534;582;Rght Tiara ;E;20;0;8485;
05/11/2023, 14:03:44;4104720;897;Tiara Lft Lft ;K;25;2;7923;
05/11/2023, 14:03:44;4295590;845;Tiara Force ;I;25;3;4713;
05/11/2023, 14:03:44;4613804;542;Tiara Tiara Tiara Rght ;C;9;3;1702;
05/11/2023, 14:03:44;4842737;897;Pendant Lft ;C;13;0;9762;
05/11/2023, 14:03:44;4976485;987;Force Tiara ;A;11;0;3633;
05/11/2023, 14:03:44;4548851;312;Rght Crs Lft Tiara ;D;12;2;6888;
05/11/2023, 14:03:44;4738043;256;Lft Tiara Pendant ;K;18;2;4572;
05/11/2023, 14:03:44;4469732;897;Crs Tribute ;D;17;2;5706;
05/11/2023, 14:03:44;4511932;582;Tribute Tribute Force Crs ;K;11;1;5058;
05/11/2023, 14:03:44;4470862;658;Crs Lft Rght ;J;17;3;8414;
05/11/2023, 14:03:44;4779349;897;Tribute Tribute Tiara ;A;25;1;4328;
05/11/2023, 14:03:44;4113099;987;Force Tribute ;C;12;1;6571;
05/11/2023, 14:03:44;4522735;852;Force Lft ;K;24;0;6884;
05/11/2023, 14:03:44;4874281;256;Force Tribute Tiara Lft ;D;8;1;5593;
05/11/2023, 14:03:44;4036586;845;Rght Pendant Force ;K;14;2;5028;
05/11/2023, 14:03:44;4197081;958;Force Force Tribute Rght ;H;23;0;8414;
05/11/2023, 14:03:44;4852295;542;Rght Crs Rght Pendant ;E;9;3;45;
05/11/2023, 14:03:44;4192904;987;Lft Tiara ;I;9;3;2670;
