data;article;color;desc_article;passadis;estanteria;altura;quantitat
05/11/2023, 14:03:44;4934612;958;Rght Force ;F;2;2;3333;
05/11/2023, 14:03:44;4736204;658;Lft Tiara ;I;4;3;8425;
05/11/2023, 14:03:44;4520322;845;Crs Rght Tribute Tiara ;K;17;1;3236;
05/11/2023, 14:03:44;4151861;512;Tribute Rght Tiara ;H;16;3;9929;
05/11/2023, 14:03:44;4046718;852;Rght Force Tribute Force ;F;23;0;7935;
05/11/2023, 14:03:44;4112405;256;Force Rght ;H;9;2;4184;
05/11/2023, 14:03:44;4738043;845;Lft Tiara Pendant ;C;12;2;3484;
05/11/2023, 14:03:44;4104720;580;Tiara Lft Lft ;K;10;3;6648;
05/11/2023, 14:03:44;4104720;658;Tiara Lft Lft ;K;16;0;9809;
05/11/2023, 14:03:44;4053534;580;Rght Tiara ;E;7;0;381;
05/11/2023, 14:03:44;4243183;256;Rght Lft Crs ;F;5;2;2382;
05/11/2023, 14:03:44;4061663;582;Lft Rght Crs ;A;17;0;7791;
05/11/2023, 14:03:44;4914139;958;Tribute Lft Lft Tribute ;G;15;2;8310;
05/11/2023, 14:03:44;4913362;580;Tribute Rght ;I;21;0;7533;
05/11/2023, 14:03:44;4769575;256;Tribute Rght Pendant ;F;1;3;8891;
05/11/2023, 14:03:44;4516424;312;Force Tribute ;K;5;2;8268;
05/11/2023, 14:03:44;4243183;852;Rght Lft Crs ;C;2;0;4619;
05/11/2023, 14:03:44;4106526;312;Tiara Crs Crs ;A;9;3;926;
05/11/2023, 14:03:44;4992879;582;Rght Force Pendant ;E;20;3;3525;
05/11/2023, 14:03:44;4294880;582;Rght Tiara ;E;6;3;8641;
05/11/2023, 14:03:44;4256796;958;Rght Tiara ;C;10;3;8480;
05/11/2023, 14:03:44;4666655;897;Lft Crs Tribute Tribute ;C;13;1;2061;
05/11/2023, 14:03:44;4791249;256;Force Pendant Crs Tribute ;H;19;2;1644;
05/11/2023, 14:03:44;4814408;542;Force Tiara ;H;18;3;2116;
05/11/2023, 14:03:44;4992639;852;Crs Tribute ;C;4;1;6995;
05/11/2023, 14:03:44;4470862;897;Crs Lft Rght ;A;7;2;1822;
05/11/2023, 14:03:44;4736204;312;Lft Tiara ;I;11;1;172;
05/11/2023, 14:03:44;4204264;845;Tiara Lft Tribute ;C;7;0;9026;
05/11/2023, 14:03:44;4431450;582;Pendant Tribute ;H;19;0;6201;
05/11/2023, 14:03:44;4211663;582;Lft Lft ;J;17;2;9306;
05/11/2023, 14:03:44;4825387;958;Tribute Lft ;B;25;1;6466;
05/11/2023, 14:03:44;4246206;256;Force Rght ;E;24;1;4630;
05/11/2023, 14:03:44;4988185;658;Pendant Tiara Crs ;A;11;1;6512;
05/11/2023, 14:03:44;4602332;987;Lft Pendant Lft ;B;9;3;3982;
05/11/2023, 14:03:44;4896456;542;Rght Crs ;E;14;2;6321;
05/11/2023, 14:03:44;4043788;512;Crs Lft Rght Crs ;F;21;0;9548;
05/11/2023, 14:03:44;4123466;658;Lft Pendant Pendant Tribute ;J;25;0;8745;
05/11/2023, 14:03:44;4151861;256;Tribute Rght Tiara ;F;2;1;2923;
05/11/2023, 14:03:44;4994923;312;Tiara Crs ;F;9;1;5110;
05/11/2023, 14:03:44;4505297;512;Tribute Tiara Lft Tribute ;A;2;1;6266;
05/11/2023, 14:03:44;4243183;436;Rght Lft Crs ;E;6;0;9907;
05/11/2023, 14:03:44;4151861;897;Tribute Rght Tiara ;J;7;2;5735;
05/11/2023, 14:03:44;4934612;897;Rght Force ;A;21;2;6228;
05/11/2023, 14:03:44;4255903;852;Tiara Lft Crs ;B;16;1;6418;
05/11/2023, 14:03:44;4046718;897;Rght Force Tribute Force ;F;20;1;4846;
05/11/2023, 14:03:44;4766980;312;Pendant Tribute ;A;2;2;1385;
05/11/2023, 14:03:44;4340764;512;Tribute Rght ;G;13;0;6537;
05/11/2023, 14:03:44;4651191;312;Force Tribute ;K;25;0;1260;
05/11/2023, 14:03:44;4061663;256;Lft Rght Crs ;C;24;2;1749;
05/11/2023, 14:03:44;4247697;542;Crs Force Lft ;E;14;2;422;
05/11/2023, 14:03:44;4123466;312;Lft Pendant Pendant Tribute ;D;9;0;294;
05/11/2023, 14:03:44;4814408;256;Force Tiara ;I;25;0;9504;
05/11/2023, 14:03:44;4286440;845;Force Rght Rght ;I;23;2;5424;
05/11/2023, 14:03:44;4886949;512;Rght Lft ;K;23;2;2110;
05/11/2023, 14:03:44;4166618;542;Crs Pendant Lft Pendant ;C;24;2;8703;
05/11/2023, 14:03:44;4939577;256;Lft Tiara Force ;C;12;3;4736;
05/11/2023, 14:03:44;4872447;542;Force Lft ;J;21;1;6614;
05/11/2023, 14:03:44;4988185;582;Pendant Tiara Crs ;E;25;3;4769;
05/11/2023, 14:03:44;4826476;897;Lft Rght Crs ;G;9;1;4509;
05/11/2023, 14:03:44;4915031;256;Lft Force Tribute Crs ;H;25;2;8113;
05/11/2023, 14:03:44;4732277;987;Pendant Tiara ;G;17;1;5391;
05/11/2023, 14:03:44;4738043;436;Lft Tiara Pendant ;I;3;0;2736;
05/11/2023, 14:03:44;4046718;582;Rght Force Tribute Force ;H;4;3;8732;
05/11/2023, 14:03:44;4769575;897;Tribute Rght Pendant ;C;17;3;7923;
05/11/2023, 14:03:44;4748462;897;Pendant Pendant Tiara Lft ;K;6;1;7336;
05/11/2023, 14:03:44;4470862;852;Crs Lft Rght ;F;24;3;858;
05/11/2023, 14:03:44;4473656;582;Pendant Tiara Lft ;J;24;0;3602;
05/11/2023, 14:03:44;4485644;658;Crs Rght ;F;8;0;9322;
05/11/2023, 14:03:44;4184826;582;Tribute Force ;I;2;3;8514;
05/11/2023, 14:03:44;4135567;845;Tiara Pendant ;C;13;0;451;
05/11/2023, 14:03:44;4815981;852;Tiara Pendant Tiara Force ;H;11;0;5443;
05/11/2023, 14:03:44;4043788;658;Crs Lft Rght Crs ;G;20;0;9378;
05/11/2023, 14:03:44;4117271;658;Pendant Force Crs Force ;D;18;2;1054;
05/11/2023, 14:03:44;4906814;256;Force Rght ;H;21;2;1481;
05/11/2023, 14:03:44;4852295;312;Rght Crs Rght Pendant ;I;17;1;2551;
05/11/2023, 14:03:44;4522735;582;Force Lft ;E;12;1;5087;
05/11/2023, 14:03:44;4350045;312;Tiara Tiara Force Pendant ;E;6;1;4023;
05/11/2023, 14:03:44;4019599;542;Tribute Tiara ;A;18;0;3927;
05/11/2023, 14:03:44;4104720;436;Tiara Lft Lft ;C;17;0;5551;
05/11/2023, 14:03:44;4934612;958;Rght Force ;K;14;1;5520;
05/11/2023, 14:03:44;4613804;845;Tiara Tiara Tiara Rght ;H;22;3;6278;
05/11/2023, 14:03:44;4523331;312;Tribute Rght Force Crs ;C;22;3;5615;
05/11/2023, 14:03:44;4307343;958;Rght Force ;B;21;0;9527;
05/11/2023, 14:03:44;4914139;845;Tribute Lft Lft Tribute ;B;25;3;3294;
05/11/2023, 14:03:44;4357738;897;Tiara Lft Rght ;F;7;2;8940;
05/11/2023, 14:03:44;4915031;658;Lft Force Tribute Crs ;G;20;0;602;
