211;4010172;256;11085
211;4010172;312;4489
211;4010172;512;37358
211;4010172;542;7398
211;4010172;580;749
211;4010172;582;323
211;4010172;658;5734
211;4010172;845;10225
211;4010172;852;9190
211;4010172;897;8150
211;4010172;958;12806
211;4010172;987;18584
211;4019599;256;30238
211;4019599;312;14160
211;4019599;436;12067
211;4019599;512;14766
211;4019599;542;2794
211;4019599;580;19299
211;4019599;582;8417
211;4019599;658;4036
211;4019599;845;7734
211;4019599;852;22730
211;4019599;897;2798
211;4019599;987;1971
211;4036586;256;24366
211;4036586;436;4855
211;4036586;542;3564
211;4036586;580;9686
211;4036586;582;8521
211;4036586;658;14996
211;4036586;845;19666
211;4036586;852;1328
211;4036586;897;8127
211;4036586;987;989
211;4042276;256;24403
211;4042276;312;38697
211;4042276;436;32088
211;4042276;512;14483
211;4042276;542;21636
211;4042276;580;27718
211;4042276;582;7379
211;4042276;658;5402
211;4042276;845;18333
211;4042276;852;11328
211;4042276;897;1244
211;4042276;958;14263
211;4042276;987;21305
211;4043788;256;18202
211;4043788;312;17508
211;4043788;436;14188
211;4043788;512;1666
211;4043788;542;1345
211;4043788;582;1511
211;4043788;658;12898
211;4043788;845;6164
211;4043788;852;26758
211;4043788;987;8099
211;4045663;256;2567
211;4045663;312;7928
211;4045663;436;4407
211;4045663;542;1562
211;4045663;580;9181
211;4045663;582;19757
211;4045663;845;9703
211;4045663;852;2003
211;4045663;897;7146
211;4045663;958;4811
211;4045663;987;5316
211;4046718;256;11406
211;4046718;312;49
211;4046718;436;6214
211;4046718;512;13075
211;4046718;582;13604
211;4046718;658;7982
211;4046718;845;15864
211;4046718;852;18421
211;4046718;958;11190
211;4046718;987;3406
211;4053534;436;12890
211;4053534;512;18690
211;4053534;542;25651
211;4053534;580;11025
211;4053534;582;24291
211;4053534;658;12976
211;4053534;845;7127
211;4053534;852;9944
211;4053534;897;10103
211;4053534;958;23163
211;4053534;987;5135
211;4057166;256;3978
211;4057166;312;13736
211;4057166;436;226
211;4057166;512;15424
211;4057166;542;11795
211;4057166;580;7834
211;4057166;582;25889
211;4057166;658;2015
211;4057166;852;7881
211;4057166;897;13088
211;4057166;958;6369
211;4057166;987;11314
211;4060346;256;4917
211;4060346;312;27983
211;4060346;436;23917
211;4060346;512;1963
211;4060346;542;3759
211;4060346;580;10110
211;4060346;658;1386
211;4060346;845;21094
211;4060346;897;17314
211;4060346;958;14009
211;4061663;256;17942
211;4061663;312;8820
211;4061663;436;22214
211;4061663;512;21901
211;4061663;542;4424
211;4061663;580;23320
211;4061663;582;25649
211;4061663;658;4618
211;4061663;845;13108
211;4061663;852;15087
211;4061663;897;10085
211;4061663;958;14285
211;4061663;987;33006
211;4082767;256;1934
211;4082767;312;16086
211;4082767;436;5637
211;4082767;512;4651
211;4082767;542;4248
211;4082767;580;15198
211;4082767;582;2911
211;4082767;658;473
211;4082767;845;20135
211;4082767;852;585
211;4082767;897;8501
211;4082767;958;20139
211;4082767;987;17573
211;4092233;256;21504
211;4092233;312;9650
211;4092233;436;18535
211;4092233;512;17303
211;4092233;542;15449
211;4092233;580;369
211;4092233;582;17524
211;4092233;658;3037
211;4092233;845;25620
211;4092233;852;22287
211;4092233;897;22230
211;4092233;958;17932
211;4092233;987;11593
211;4094868;256;9779
211;4094868;436;573
211;4094868;512;8395
211;4094868;542;12779
211;4094868;580;7635
211;4094868;582;9713
211;4094868;658;9477
211;4094868;845;9678
211;4094868;852;15520
211;4094868;897;2802
211;4094868;958;24272
211;4094868;987;8551
211;4104720;256;5196
211;4104720;312;6680
211;4104720;512;10517
211;4104720;542;3352
211;4104720;580;3884
211;4104720;582;17472
211;4104720;658;9976
211;4104720;845;14377
211;4104720;852;18547
211;4104720;897;19788
211;4104720;958;2680
211;4104720;987;16606
211;4106526;256;15847
211;4106526;312;5009
211;4106526;512;23961
211;4106526;542;13992
211;4106526;580;20367
211;4106526;582;2974
211;4106526;658;5180
211;4106526;845;19732
211;4106526;897;19541
211;4106526;958;1317
211;4106526;987;21669
211;4112363;436;5154
211;4112363;512;18739
211;4112363;580;4863
211;4112363;582;14595
211;4112363;658;10635
211;4112363;845;18446
211;4112363;852;14700
211;4112363;897;15150
211;4112363;958;25621
211;4112363;987;29030
211;4112405;256;10673
211;4112405;312;11066
211;4112405;436;6881
211;4112405;512;13263
